KEY,English,Japanese,Chinese,Chinese-Simplified,Korean,Spanish,Portugese,French,German,Italian,Russian,Arabic,Persian-Farsi,Norwegian
Start,Start,Start,??,??,??,??,??,??,Start,??,??,??,____,Start
Start Game,Start Game,??,??,??,??,??,??,??,Spiel Starten,??,??,??,??,Start spillet
Next,Next,??,??,??,??,??,??,??,Nächste,??,??,??,____,Neste
Back,Back,??,??,??,??,??,??,??,Zurück,??,??,??,____,Tilbake
Continue,Continue,??,??,??,??,??,??,??,??,??,??,??,_____,Fortsett
Restart,Restart,??,??,??,??,??,??,??,??,??,??,??,____ ____,Omstart
Restart Level,Restart Level,??,??,??,??,??,??,??,??,??,??,??,??,Start på nytt
Level,Level,??,??,??,??,??,??,??,??,??,??,??,??,Brett
Try Again?,Try Again?,??,??,??,??,??,??,??,??,??,??,??,______ ____ __,Prøv igjen?
Home,Home,??,??,??,??,??,??,??,??,??,??,??,____,Hjem
Main Menu,Main Menu,??,??,??,??,??,??,??,??,??,??,??,______ ____,Hovedmeny
Menu,Menu,??,??,??,??,??,??,??,??,??,??,??,___,Meny
Yes,Yes,??,??,??,??,??,??,??,??,??,??,??,___,Ja
No,No,??,??,??,??,??,??,??,??,??,??,??,___,Nei
Okay,Okay,??,??,??,??,??,??,??,??,??,??,??,____,OK
Cancel,Cancel,??,??,??,??,??,??,??,??,??,??,??,___,Avbryt
Buy,Buy,??,??,??,??,??,??,??,??,??,??,??,____,Kjøp
Buy now,Buy now,??,??,??,??,??,??,??,??,??,??,??,??,Kjøp nå
Coin,Coin,??,??,??,??,??,??,??,??,??,??,??,____,Mynt
Coins,Coins,??,??,??,??,??,??,??,??,??,??,??,??,Mynter
Key,Key,??,??,??,??,??,??,??,??,??,??,??,____,Nøkkel
Keys,Keys,??,??,??,??,??,??,??,??,??,??,??,??,Nøkler
Awesome!,Awesome!,??,??,??,??,??,??,??,??,??,??,??,_____!,Fett!
Fight!,Fight!,??,??,??,??,??,??,??,??,??,??,??,______ ____!,Sloss!
